Compound	Occurrences
((ch3)2chch2)2alh	2
((ch3)2n)3ssi(ch3)3f2	1
((ch3)3c)2c5h3n	1
((ch3)3c)c5h3nc5h3n(c(ch3)3)	1
((ch3)3c)li	1
((ch3)3c6h2c(c4h2nc10h15)2)fecl(o(c2h5)2)	1
((ch3)3cc5h3n)2	2
((ch3)3cco)2o	4
((ch3)3co)ti(och(ch3)2)3	4
((ch3)3o)bf4	1
((ch3)3si)4si	2
((ch3)4n)cl	1
((ch3)5c5)ir(p(ch3)3)h((ch3)4c2o2b)	2
((ch3co)2ch)aup(c6h5)3	1
((ch3o)2c6h3)3p or (c6h5)2pc10h6c10h6och3	1
((cp2)titanium(thf)2) tetracarbonylcobaltate	9
((cy2poh)2pdcl)2	36
((d)ipc)2bh	2
((e)-3-cyclohexyl-allyl)-benzene	1
((i-pr)3p)pd(1,6-diene)	5
((ipr2pc6h3(me))2n)ir(tert-butoxymethylidene)	1
((l)ipc)2bh	3
((me)n2n)ni-cl	244
((me2(2,3,4,5-tetraphenylphenyl)(c6h2))2(c3h4n2))rucl2(pcy3)(ch(c6h5))	3
((me2(ph2(me2(c6h3))2(c6h)(c6h2))2(c3h4n2))rucl2(pcy3)(ch(c6h5))	5
((methoxy(2,5-dimethoxy))phenylmethylene)pentacarbonylchromium(0)	1
((n-ac-his-ser)2-2,3-carboxyl-1,2-diaminopropyl-his-ser)-nh2	3
((n-bu)4n)2s2o8	37
((o)cochchc(o)	1
((o-biphenyl)pcy2)pd(diallyl ether)	5
((phenyl)3sn)2o	4
((pho)3p)2rh(ch3coch3)2bf4	2
((r)-(1,1'-binaphthyl-2,2'-diyl)bis(diphenylphosphine))ru(o2ccf3)2	7
((r)-1,1'-bi-2-naphthoxy)2lial	1
((r)-1,1'-binaphthalene-2,2'-dioxy)pnme((r)-ch(1-fc)me)	12
((r)-1,1'-binaphthyl-2,2'diyl)-iso-propyl-phosphite	2
((r)-2,2?-bis(diphenylphosphino)-1,1?-binaphthyl)bis(acetonitrile)palladium(ii) ditriflate	1
((r)-3,3'-bis(pentamethylphenyl)-1,1'-binaphthyl-2,2'-diyl) hydrogenphosphate	21
((r)-3,3'-dibromo-1,1'-bi-2-naphthyloxy)zr-meoh	3
((r)-3,3'-dichloro-1,1'-bi-2-naphthyloxy)zr-meoh	1
((r)-cyclohexylanisyl)2pdcl2	1
((r)-dm-segphos)ru(oac)2	1
((r)-tol-binap*cucl)4*2mecn	3
((r,r)-(-)-2,3-bis(tert-butylmethylphosphino)quinoxaline)dichloropalladium(ii)	12
((r,r)-2-(me2n)cyclohexyl)-nhc(s)nh-(r,r)-ch(ph)-ch(ph)-nhts	9
((r,r)-4,4?-bis(2-phenylnaphthyl-1-yl)-2,2?-binaphthyl-3,3?-diyl)hydrogen phosphate	6
((r,r)-n,n'-disubstituted-1,2-cyclohexanediamine)mn(iii)cl	1
((r,r)-s-me-bipam)	9
((r,r,r)-4,4'-dihydroxy-5,5'-bi[2.2]paracyclophane)alotf	1
((s)-(phch(me))n=c(me)(rp-oh[2,2-paracyclophane])	3
((s)-1,1'-binaphthyl-2,2'diyl)-phenyl-phosphite	2
((s)-2,2?-bis(diphenylphosphino)-1,1?-binaphthyl)pdcl2	18
((s)-2,2?-bis(diphenylphosphino)-1,1?-binaphthyl)pdcl2*2thf	28
((s)-2-((e)-2-hydroxybenzylidene)amino)-3-methyl-n-((r)-1-oxo-3-phenyl-1-(4-(trifluoromethyl)phenylamino)propan-2-yl)butanamide	17
((s)-meobiphep)pd(nc(3,5-cf3-c6h5))2(sbf6)2	2
((s)-n2,n2'-bis[2,6-diisopropylphenyl]-6,6'-dimethylbiphenyl-2,2'-dicarboxamidate)tris(dimethylamido)tantalum	5
((s)-xyl-sdp)ru((r,r)dpen)cl2	16
((s,s)-2,3-o-isopropylidene-2,3-dihydroxy-1,4-bis-(diphenylphosphino)butane)cocl2	5
((t-bu)2poh)2pdcl2	13
((tbuc5h4)2y(.mu.-h))2	1
((trimethylsilyl)methyl)titanocene chloride	4
(+) camphoryl sulfonyl oxaziridine	3
(+) hapten 11	1
(+) hapten 16	1
(+) nmcpmo(no)(cl)(eta3-methallyl)	2
(+)-(10-camphorsulfonyl) oxaziridine	7
(+)-(10-camphorsulfonyl)oxaziridine	6
(+)-(1r,2r)-o-c6h4(nhcoc6h4pph2-o)2	5
(+)-(1r,2r,4r,5r)-n,n'-bis-(3,5-di-tert-butylsalicylidene)-2,5-diaminobicyclo[2.2.2]octanechromium(iii) chloride	14
(+)-(1r,2r,4r,5r)-n,n?-bis-(3,5-di-tert-butyl-7-butylsalicylidene)-2,5-diaminobicyclo[2.2.2]octane iron(iii) chloride	12
(+)-(1r,2r,4r,5r)-n,n?-bis-(3,5-di-tert-butyl-7-butylsalicylidene)-2,5-diaminobicyclo[2.2.2]octane iron(iii) trifluoroacetate	19
(+)-(1r,3s)-5-bromo-6,8-dimethoxy-1,2,3-trimethyl-1,2,3,4-tetrahydroisoquinoline	1
(+)-(1r,4r,5r,8r)-4,8-bis(benzyloxy)bicyclo[3.3.1]nona-2,6-diene	14
(+)-(1r,4s,5s)-2-(2,6-dimethylphenyl)-5-methoxy-1,5-dimethylbicyclo[2.2.2]octa-2,7-diene	1
(+)-(1r,5r)-alpha-pinene	7
(+)-(1r,5r,7s) -7-(oxazolo[4,5-b]-xanthone-2-yl)-1,5,7-trimethyl-3-azabicyclo[3.3.1]nonan-2-one	1
(+)-(1r,5r,7s)-1,5,7-trimethyl-7-(5',6',7',8'-tetrahydro-1'-oxa-3'-azacyclopenta[b]naphthalene-2'-yl)-3-azabicyclo[3.3.1]nonan-2-one	5
(+)-(1s,2r,3as,8as)-6-{[-2-([1,1'-biphenyl]-4-yl)cyclohexyl]oxy}-2?,2?-dimethyl-4,4,8,8-tetraphenyltetrahydro-[1,3]dioxolo[4,5-e][1,3,2]dioxaphosphepine	7
(+)-(2r)-2-methylpiperidine	2
(+)-(2s)-2-(3-ethylbenzyl)-2,3-dimethylimidazolidin-4-one	11
(+)-(2s,2's)-2-amino-1-{n-[4'-methyl-1'-(pyrrolidin-1''-yl)pentan-2'-yl]amino}-3-phenylpropane	6
(+)-(2s,3s,4s)-t-2-methyltetrahydropyran-r-3,t-4-diol	1
(+)-(2s,8as)-(camphorylsulfonyl)oxaziridine	10
(+)-(3,2,10-eta-pinene)palladium(ii) chloride	19
(+)-(4s,5s)-taddol	5
(+)-(8,8-dichlorocamphorylsulfonyl)-oxaziridine	2
(+)-(8,8-dichlorocamphorylsulfonyl)oxaziridine	3
(+)-(nmi)2zrcl2	2
(+)-(p)-1-aza[5]helicene n-oxide	2
(+)-(p)-11,12-benzo-1-aza[6]helicene n-oxide	2
(+)-(p)-11,12-benzo-2-(1-adamantylamino)-1-aza[6]helicenium tfpb	4
(+)-(p,3s)-14-(1,3,2-dioxaphospholan-2-yloxy)-3-methyl-4-(4-methylphenyl)-1,3,6,7-tetrahydrobenzo[c]benzo[5,6]phenanthro[4,3-e]oxepine	1
(+)-(p,3s)-14-(dibenzo[d,f][1,3,2]dioxaphosphepin-6-yloxy)-3-methyl-4-(4-methylphenyl)-1,3,6,7-tetrahydrobenzo[c]benzo[5,6]phenanthro[4,3-e]oxepine	2
(+)-(p,3s)-14-[(4,8-di-tert-butyl-2,10-dimethoxydibenzo[d,f][1,3,2]dioxaphosphepin-6-yl)oxy]-3-methyl-4-(4-methylphenyl)-1,3,6,7-tetrahydrobenzo[5,6]phenanthro[4,3-e]oxepine	1
(+)-(p,3s)-3-methyl-4-(4-methylphenyl)-14-[(4,4,5,5-tetramethyl-1,3,2-dioxaphospholan-2-yl)oxy]-1,3,6,7-tetrahydrobenzo[c]benzo[5,6]phenanthro[4,3-e]oxepine	4
(+)-(r)-(1-phenethyl)(2,2,2-trifluoroethyl)amine	3
(+)-(r)-[1,5-cycloocatdien-7-(2-phenyl-6,7-dihydro-5h-[1]pyridine)-di-(tert-butyl)phosphinite-ridiumd(i)]tetrakis-(3,5-bis(trifluoromethyl)phenyl)borate	13
(+)-(r)-alpha-pinene	8
(+)-(r,r)-bis(hexamethylazaferrocene)methylene	1
(+)-(r,r)-c2-symmetric bisazaferrocene	3
(+)-(r,r)-n,n'-bis(2-hydroxybenzyl)-n,n'-bis(2-pyridylmethyl)-1,2-diphenylethylenediamine	6
(+)-(r,r,r,r)-c50h50o4p2	1
(+)-(r,r,r,r)-c50h50o8p2	1
(+)-(r,rp)-taniaphos	12
(+)-(s)-(6,6'-dimethylbiphenyl-2,2'-diyl)bis(diphenylphosphine)	2
(+)-(s)-1-[(r)-2-(ph2p)ferrocenyl]ethyl methyl ether	1
(+)-(s)-2-amino-1-phenyl-3-(pyrrolidin-1-yl)propane	23
(+)-(s)-5-(4,5,6,7-tetrahydrodiindeno[7,1-de:1',7'-fg][1,3,2]dioxaphosphocin-12-yl)-5h-dibenzo[b,f]azepine	5
(+)-(s)-5-isopropyl-2-(2,3,4,5,6-pentafluorophenyl)-6,8-dihydro-5h-[1,2,4]triazolo[3,4-c][1,4]oxazin-2-ium tetrafluoroborate	9
(+)-(s)-[(cod)(t-bu-oxazolinyl-cme2o-p(o-tol)2)ir][barf]	2
(+)-(s)-cop-oac	6
(+)-(s,s)-(+)-(diop)cocl2	9
(+)-(s,s)-cr(salen)cl	9
(+)-(s,s)-tadooh	6
(+)-(trans-ph2-c4h6n-ch2)2	1
(+)-1(s),2(s)-bislt;2'-(diphenylphosphino)benzamidogt;-1,2-diphenylethane	19
(+)-1,2,3,4,1',2',3',4'-octahydro-1,1'-bisisoquinoline	2
(+)-1,2-bis((2s, 5s)-2,5-diethylphospholano)benzene (cyclooctadiene)rhodium(i) trifluoromethanesulfonate	6
(+)-1,2-bis((2s,,5s)-2,5-diethylphospholano)benzene(cyclooctadiene)rhodium(i) trifluoromethanesulfonate	1
(+)-1,2-bis((2s,5s)-2,5-diethylphospholano)benzene(1,5-cyclooctadiene)rhodium tetrafluoroborate	8
(+)-1,2-bis-((2s,5s)-2,5-diethylphospholano)benzene(1,5-cyclooctadiene)rhodium(i) trifluoromethanesulfonate	1
(+)-1,2-bis-((2s,5s)-2,5-diethylphospholano)benzene(cyclooctadiene)rhodium(i) trifluoromethanesulfonate	46
(+)-1-bromo-1-methyl-2,2-diphenylcyclopropane	1
(+)-1-t-bu-2-tso-2h-[1,2]azaborolyl*(co)2*me3si*iron	2
(+)-10-camphorsulfonic acid	119
(+)-2'-(dicyclohexylphosphanyl)-2-(me2n)-1,1'-binaphthyl	1
(+)-2,2'-o,o-(1,1'-binaphthyl)-dioxo-n,n-diethylphospholidine	23
(+)-2-(phenylsulfonyl)-3-phenyloxaziridine	1
(+)-2-deuterio-octan-2-ol	1
(+)-3,3'-dimethyl-pindox	1
(+)-3-((tert-butyldimethylsilyl)oxy)-8-(dinaphtho[2,1-d:1',2'-f][1,3,2]dioxa-phosphepin-4-yl)-8-azabicyclo[3.2.1]oct-6-ene	1
(+)-4,4a,5,6,7,8-hexahydro-4a-me-2(3h)-nph dimethylhydrazone	2
(+)-4-[c(o)o-(4-eto-phenyl)]-4'-(1-methylheptyloxy)biphenyl	1
(+)-4-dimethylamino-1,2-diphenyl-3-methyl-2-butanol	1
(+)-5-(2?,4?,6?-trimethoxyphenyl)-8,10,10-trimethyl-6-azatricyclo[7.1.1.02,7]undeca-2,4,6-triene 6-oxide	34
(+)-6,6'-(((1r,2r,4r,5r)-bicyclo[2.2.2]octane-2,5-diylbis(azanediyl))bis(methylene))bis(2,4-di-tert-butylphenol)	24
(+)-6-methoxy-4-[(s)-methoxy-((r)-5-vinyl-1-azabicyclo[2.2.2]oct-2-yl)-methyl]-quinoline	9
(+)-8-(phenylmethylene)bicyclo[3.2.1]octan-3-one	1
(+)-[(cod)rh((s,s)-et-duphos)]otf	2
(+)-[(cod)rh(s,s-et-duphos)]otf	1
(+)-[(cod)rh-(s,s)-et-duphos]otf	1
(+)-[4,4'-(pph2)2-2,2',5,5'-me4-3,3'-bithiophene]rucl2	2
(+)-[4,4'-pph2-2,2',5,5'-me-3,3'-bithiophene]ru(ch2cmech2)2	1
(+)-alpha-pinanyl-9-borabicyclolt;3.3.1gt;nonane	1
(+)-b(och3)(ipc)2	1
(+)-b-methoxydiisocamphenylborane	1
(+)-bis(alpha-methylbenzyl)amine lithium salt	1
(+)-bislt;(r)-(1-phenylethyl)gt;amine	1
(+)-bislt;3-(heptafluorobutyryl)camphoratogt;oxovanadium(iv)	1
(+)-c11h19nch3	3
(+)-c36h32o4	1
(+)-c5phe5-dmap-deriv. ferrocene	1
(+)-camphor-10-sulfonic acid	2
(+)-camphor-10-sulfonic acid monohydrate	2
(+)-champhorsulfonic acid	4
(+)-cinchonamine	1
(+)-csa	41
(+)-cso	17
(+)-dccso	2
(+)-dcht	1
(+)-dicyclododecyl tartrate	1
(+)-dicyclohexyl tartrate	1
(+)-diethyl ditoluyltartrate	1
(+)-diethyl-d-tartrate	3
(+)-diisopinocampheylborane dimer	1
(+)-diisopinocampheylchloroborane	2
(+)-diisopinocampheylmethoxyborane	86
(+)-dip-chloride	1
(+)-dipbr	1
(+)-dipt	1
(+)-eu(dppm)3	1
(+)-exo-3-(methylthio)-1,7,7-trimethylbicyclolt;2.2.1gt;heptan-2-ol	9
(+)-flavinophane fl(7)	1
(+)-flavinophane fl(8)	3
(+)-guiphos	15
(+)-icp2bome	7
(+)-ipc2b(allyl)	1
(+)-ipc2bcl	23
(+)-ipc2boh	1
(+)-ipc2bome	26
(+)-ipc2botf	2
(+)-isomenthone-derived 1,3-diol ligand	1
(+)-limonene	1
(+)-mating type blakeslea trispora cells	1
(+)-menthyl(o2c)-leu-oh	29
(+)-menthylona	1
(+)-mib	13
(+)-monoperoxycamphoric acid	2
(+)-monoperoxycamphoric acid ((+)-mcpa)	3
(+)-monoperoxycamphoric acid ((+)-mpca)	3
(+)-n,n-dimethyl-1-(1-naphthyl)ethylamine pt	1
(+)-n-(phenylsulfonyl)(3,3-dichlorocamphoryl)oxaziridine	1
(+)-n-methylephedrine	45
(+)-n-{(4s,5s)-2,2-dimethyl-4-[4-(methylsulfonyl)phenyl]-1,3-dioxan-5-yl}-3,4-dihydroisoquinolinium tetraphenylborate	1
(+)-neomenthyldiphenylphosphine	6
(+)-norephedrine	20
(+)-ph-bpe	8
(+)-pindox	4
(+)-pinylborane	1
(+)-s(p)-4,12-bis(dimethylsilanol)[2.2]paracyclophane	5
(+)-sparteine	31
(+)-sparteine surrogate	22
(+)-taniaphos	1
(+)-tetramisole hydrochloride	1
(+)-triethylsilyl iodide	1
(+)-trislt;(s)-2-methylbutylgt;aluminium etherate	1
(+)-weinsaeure-diethylester	66
(+)-yb(tfc)3	1
(+)/(-)-ph-bpe	23
(+)?cinchonine	1
(+-)-threo-alpha-nitro-alpha'-nitryloxy-bibenzyl	1
(+/-)-(2s,4r)-2-bn2nco-4-oh-pyrrolidine	6
(+/-)-(4s,5s)-1,3-bis(2,6-diisopropylphenyl)-4,5-diphenyl-4,5-dihydro-1h-imidazol-3-ium tetrafluoroborate	5
(+/-)-(5,5',6,6',7,7',8,8'-octahydro-1,1'-binaphthyl)-2,2'-diyl dibenzylphosphoramidite	30
(+/-)-(6,6'-dimethoxybiphenyl-2,2'-diyl)bis{bis[2,6-bis(trifluoromethyl)-4-pyridyl]phosphine}	9
(+/-)-1	1
(+/-)-1,2,5,6,9,10-hexabromocyclododecane	1
(+/-)-10-camphoric acid	3
(+/-)-2,2-dimethyl-1-lt;p-(trifluoromethyl)phenylgt;propan-1-ol	1
(+/-)-2,3-o-isopropylidene-2,3-dihydroxy-1,4-bis(diphenylphosphino)butane	29
(+/-)-2,5-(ch2)10-4-deuterio-1-me-1,4-dihydronicotinamide	2
(+/-)-2-acetoxycyclohexanone	1
(+/-)-2-ethyloxirane	49
(+/-)-2-oac-3-oxo-8-azabicyclo[3.2.1]octane-8-co2et	1
(+/-)-4-methyl-n-(2-{[(4-methylphenyl)sulfonyl]amino}cyclohexyl)benzenesulfonamide	5
(+/-)-[1,2-cyclohexanediamino-n,n'-bis(3,5-di-t-butylsalicylidene)]manganese(iii) chloride	24
(+/-)-anti-(tfo)cp2zroch(tbu)ch(ch3)cooch3	1
(+/-)-binal-h reagent	2
(+/-)-binap	47
(+/-)-butanamine	9
(+/-)-camphor sulfonic acid	1
(+/-)-camphor-10-sulfonic acid	145
(+/-)-camphorsulfonic acid	2
(+/-)-camphosulfonic acid	1
(+/-)-ethyl e-3-trimethylsilylhex-4-enoate	1
(+/-)-fe(me5cp)[2-(ph2pch2)-3,4-me2-phosphacp]	1
(+/-)-lt;cyclo-pph2-cr(co)2(o-ph2pc6h4ch(me))-gt;	1
(+/-)-mib	13
(+/-)-monotrimethyl phosphite(dicarbonyl)lt;methyl alpha-(o-diphenylphosphinophenyl)ethyl ethergt;chromium	1
(+/-)-n-(cyanophenylmethyl)benzamide	1
(+/-)-phenyl-1,2-ethanediol	1
(+/-)-potassium-lt;1-methyl-heptylategt;	1
(+/-)-potassium-lt;2-butyl-octylategt;	1
(+/-)-potassium-lt;2-ethyl-hexylategt;	1
(+/-)-prophenol	22
(+/-)-pyrrolidine-3-carboxylic acid	1
(+/-)-segphos	24
(+/-)-snap	2
(+/-)-synphos	56
(+/-)-taddol-phosphite	1
(+/-)-tetrahydropapaveroline	15
(+/-)-tf-biphamphos	7
(+/-)-trans-2,5-dimethylpiperazine	16
(+/-)-trans-2-phenyl-1-cyclohexanol	2
(+/-)-trans-3-tert-butyl-3-methyl-2-(phenylsulfoxyl)oxaziridine	1
(+/-)-trans-co(ii)-salen	3
(+/-)-trans-co(iii)-salen-cl	1
(+/-)-triphenylphosphine(dicarbonyl)lt;methyl alpha-(o-diphenylphosphinophenyl)ethyl ethergt;chromium	1
(+/-)-vapol	1
(+/-)camphorsulfonic acid	1
(-) hapten 14	1
(-) hapten 20	1
(-) nmcpmo(no)(cl)(eta3-methallyl)	2
(-) sparteine	1
(-)-(1,2)-bislt;(diphenylphosphino)benzamidogt;cyclohexane	1
(-)-(1r)-(10-camphorsulfonyl)oxaziridine	2
(-)-(1r,1'r)-1,2,3,4,1',2',3',4'-octahydro-1,1'-bisisoquinoline	13
(-)-(1r,2s,)-1,2-diphenyl-1-ethanol-2-amine	1
(-)-(1s,5s)-beta-pinene	7
(-)-(1s,5s,7r) -7-(oxazolo[4,5-b]-xanthone-2-yl)-1,5,7-trimethyl-3-azabicyclo[3.3.1]nonan-2-one	2
(-)-(1s,5s,7r)-1,5,7-trimethyl-7-(5',6',7',8'-tetrahydro-1'-oxa-3'-azacyclopenta[b]naphthalene-2'-yl)-3-azabicyclo[3.3.1]nonan-2-one	11
(-)-(2r)-2-phenylglycine	13
(-)-(2r,3r)-butanediol	1
(-)-(2s,3s)-bis(diphenylphosphino)butane	1
(-)-(4,4'-(2-cyo-1-naphthyl)2-2,2'-binaphthyl-3,3'-diyl)hpo4	7
(-)-(8,8-dimethoxycamphoryl)sulfonylgt;oxaziridine	1
(-)-(c5me5)fec5h3nc3h(pyrrolidino)	11
(-)-(c5ph5)fec5h3nc3h(dimethylamino)	5
(-)-(m)-11,12-benzo-1-aza[6]helicene n-oxide	6
(-)-(m)-11,12-benzo-2-(1-adamantylamino)-1-aza[6]helicenium tfpb	4
(-)-(nmi)2zrcl2	2
(-)-(o)-(9)-allyl-n-(9-anthracenylmethyl)cinchodinium bromide	11
(-)-(r)-(6,6'-dimethylbiphenyl-2,2'-diyl)bis(diphenylphosphine)	14
(-)-(r)-5-(4,5,6,7-tetrahydrodiindeno[7,1-de:1',7'-fg][1,3,2]dioxaphosphocin-12-yl)-5h-dibenzo[b,f]azepine	4
(-)-(r,r)-(-)-(diop)cocl2	7
(-)-(r,r)-1,2-bis(2-bromophenyl)ethane-1,2-diol	5
(-)-(r,r)-n,n'-bis(3,5-di-tert-butyl-salicylidene)-1,2-cyclohexanediamine	2
(-)-(r,r)-taddol	17
(-)-(s)-1-(1-allyloxyethyl)-4-tert-butylbenzene	1
(-)-(s)-1-anthracen-9-ylethanol	8
(-)-(s)-[2-(2-methoxynaphthalen-1yl)phenyl]diphenylphosphine	1
(-)-(s)-alpha-pinene	7
(-)-(s)-binal-h	22
(-)-(s)-cop-oac	2
(-)-(s)-pipecolic acid	1
(-)-(s)-synphos	7
(-)-(s,s)-dmpeda	35
(-)-(s,s)-mesdpen-eta6-p-cymene-ruiicl	1
(-)-(salen)cr(iii)-sbf6	1
(-)-(sp)-cobalt(i)	4
(-)-(trans-ph2-c4h6n-ch2)2	2
(-)-1,2-bis-((2r,5r)-2,5-diethylphospholano)benzene(cyclooctadiene) rhodium(i) tetrafluoroborate	20
(-)-1,2-bis-((2s,3s)-2,5-dimethylphospholano)ethane(cyclooctadiene)-rhodium(i)-trifluoro-methane sulfonate	15
(-)-1,7,7-trimethyl-3-morpholinobicyclo[2.2.1]heptan-2-ol	1
(-)-10-csa	173
(-)-1s,5s-alpha-pinene	2
(-)-2,2'-isopropylidenebis(indano-2-oxazoline)	1
