Compound	Occurrences	pubchem_isosmiles
((ch3)2ch)2nh	1	empty
((ch3)2ch)2nli	1	empty
((ch3)2ch)3c6h2c6h4p(c6h11)2	1	empty
((ch3)2chch2)2alh	2	empty
((ch3)2n)3ssi(ch3)3f2	1	empty
((ch3)3c)2c5h3n	1	empty
((ch3)3c)c5h3nc5h3n(c(ch3)3)	1	empty
((ch3)3c)li	1	empty
((ch3)3c6h2c(c4h2nc10h15)2)fecl(o(c2h5)2)	1	empty
((ch3)3cc5h3n)2	2	empty
((ch3)3cco)2o	4	empty
((ch3)3co)ti(och(ch3)2)3	4	empty
((ch3)3o)bf4	1	empty
((ch3)3si)4si	2	empty
((ch3)4n)cl	1	empty
((ch3)5c5)ir(p(ch3)3)h((ch3)4c2o2b)	2	empty
((ch3co)2ch)aup(c6h5)3	1	empty
((ch3o)2c6h3)3p or (c6h5)2pc10h6c10h6och3	1	empty
((cp2)titanium(thf)2) tetracarbonylcobaltate	9	empty
((cy2poh)2pdcl)2	36	empty
((d)ipc)2bh	2	empty
((e)-3-cyclohexyl-allyl)-benzene	1	C1(CCCCC1)/C=C/CC1=CC=CC=C1
((i-pr)3p)pd(1,6-diene)	5	empty
((ipr2pc6h3(me))2n)ir(tert-butoxymethylidene)	1	empty
((l)ipc)2bh	3	empty
((me)n2n)ni-cl	244	empty
((me2(2,3,4,5-tetraphenylphenyl)(c6h2))2(c3h4n2))rucl2(pcy3)(ch(c6h5))	3	empty
((me2(ph2(me2(c6h3))2(c6h)(c6h2))2(c3h4n2))rucl2(pcy3)(ch(c6h5))	5	empty
((methoxy(2,5-dimethoxy))phenylmethylene)pentacarbonylchromium(0)	1	empty
((n-ac-his-ser)2-2,3-carboxyl-1,2-diaminopropyl-his-ser)-nh2	3	empty
((n-bu)4n)2s2o8	37	empty
((o)cochchc(o)	1	empty
((o-biphenyl)pcy2)pd(diallyl ether)	5	empty
((phenyl)3sn)2o	4	empty
((pho)3p)2rh(ch3coch3)2bf4	2	empty
((r)-(1,1'-binaphthyl-2,2'-diyl)bis(diphenylphosphine))ru(o2ccf3)2	7	empty
((r)-1,1'-bi-2-naphthoxy)2lial	1	empty
((r)-1,1'-binaphthalene-2,2'-dioxy)pnme((r)-ch(1-fc)me)	12	empty
((r)-1,1'-binaphthyl-2,2'diyl)-iso-propyl-phosphite	2	empty
((r)-2,2?-bis(diphenylphosphino)-1,1?-binaphthyl)bis(acetonitrile)palladium(ii) ditriflate	1	empty
((r)-3,3'-bis(pentamethylphenyl)-1,1'-binaphthyl-2,2'-diyl) hydrogenphosphate	21	empty
((r)-3,3'-dibromo-1,1'-bi-2-naphthyloxy)zr-meoh	3	empty
((r)-3,3'-dichloro-1,1'-bi-2-naphthyloxy)zr-meoh	1	empty
((r)-cyclohexylanisyl)2pdcl2	1	empty
((r)-dm-segphos)ru(oac)2	1	empty
((r)-tol-binap*cucl)4*2mecn	3	empty
((r,r)-(-)-2,3-bis(tert-butylmethylphosphino)quinoxaline)dichloropalladium(ii)	12	empty
((r,r)-2-(me2n)cyclohexyl)-nhc(s)nh-(r,r)-ch(ph)-ch(ph)-nhts	9	empty
((r,r)-4,4?-bis(2-phenylnaphthyl-1-yl)-2,2?-binaphthyl-3,3?-diyl)hydrogen phosphate	6	empty
((r,r)-n,n'-disubstituted-1,2-cyclohexanediamine)mn(iii)cl	1	empty
((r,r)-s-me-bipam)	9	empty
((r,r,r)-4,4'-dihydroxy-5,5'-bi[2.2]paracyclophane)alotf	1	empty
((s)-(phch(me))n=c(me)(rp-oh[2,2-paracyclophane])	3	empty
((s)-1,1'-binaphthyl-2,2'diyl)-phenyl-phosphite	2	empty
((s)-2,2?-bis(diphenylphosphino)-1,1?-binaphthyl)pdcl2	18	empty
((s)-2,2?-bis(diphenylphosphino)-1,1?-binaphthyl)pdcl2*2thf	28	empty
((s)-2-((e)-2-hydroxybenzylidene)amino)-3-methyl-n-((r)-1-oxo-3-phenyl-1-(4-(trifluoromethyl)phenylamino)propan-2-yl)butanamide	17	empty
((s)-meobiphep)pd(nc(3,5-cf3-c6h5))2(sbf6)2	2	empty
((s)-n2,n2'-bis[2,6-diisopropylphenyl]-6,6'-dimethylbiphenyl-2,2'-dicarboxamidate)tris(dimethylamido)tantalum	5	empty
((s)-xyl-sdp)ru((r,r)dpen)cl2	16	empty
((s,s)-2,3-o-isopropylidene-2,3-dihydroxy-1,4-bis-(diphenylphosphino)butane)cocl2	5	empty
((t-bu)2poh)2pdcl2	13	empty
((tbuc5h4)2y(.mu.-h))2	1	empty
((trimethylsilyl)methyl)titanocene chloride	4	[Cl-]~C[Si](C)(C)C[C-]1C=CC=C1~[CH-]1C=CC=C1~[Ti+2]
(+) camphoryl sulfonyl oxaziridine	3	empty
(+) hapten 11	1	empty
(+) hapten 16	1	empty
(+) nmcpmo(no)(cl)(eta3-methallyl)	2	empty
(+)-(10-camphorsulfonyl) oxaziridine	7	empty
(+)-(10-camphorsulfonyl)oxaziridine	6	empty
(+)-(1r,2r)-o-c6h4(nhcoc6h4pph2-o)2	5	empty
(+)-(1r,2r,4r,5r)-n,n'-bis-(3,5-di-tert-butylsalicylidene)-2,5-diaminobicyclo[2.2.2]octanechromium(iii) chloride	14	empty
(+)-(1r,2r,4r,5r)-n,n?-bis-(3,5-di-tert-butyl-7-butylsalicylidene)-2,5-diaminobicyclo[2.2.2]octane iron(iii) chloride	12	empty
(+)-(1r,2r,4r,5r)-n,n?-bis-(3,5-di-tert-butyl-7-butylsalicylidene)-2,5-diaminobicyclo[2.2.2]octane iron(iii) trifluoroacetate	19	empty
(+)-(1r,3s)-5-bromo-6,8-dimethoxy-1,2,3-trimethyl-1,2,3,4-tetrahydroisoquinoline	1	BrC1=C2C[C@@H](N([C@@H](C2=C(C=C1OC)OC)C)C)C
(+)-(1r,4r,5r,8r)-4,8-bis(benzyloxy)bicyclo[3.3.1]nona-2,6-diene	14	C(C1=CC=CC=C1)O[C@@H]1C=C[C@@H]2[C@@H](C=C[C@H]1C2)OCC2=CC=CC=C2
(+)-(1r,4s,5s)-2-(2,6-dimethylphenyl)-5-methoxy-1,5-dimethylbicyclo[2.2.2]octa-2,7-diene	1	CC1=C(C(=CC=C1)C)C=1[C@@]2(C[C@]([C@H](C1)C=C2)(C)OC)C
(+)-(1r,5r)-alpha-pinene	7	[C@@H]12C(=CC[C@@H](C1(C)C)C2)C
(+)-(1r,5r,7s) -7-(oxazolo[4,5-b]-xanthone-2-yl)-1,5,7-trimethyl-3-azabicyclo[3.3.1]nonan-2-one	1	empty
(+)-(1r,5r,7s)-1,5,7-trimethyl-7-(5',6',7',8'-tetrahydro-1'-oxa-3'-azacyclopenta[b]naphthalene-2'-yl)-3-azabicyclo[3.3.1]nonan-2-one	5	empty
(+)-(1s,2r,3as,8as)-6-{[-2-([1,1'-biphenyl]-4-yl)cyclohexyl]oxy}-2?,2?-dimethyl-4,4,8,8-tetraphenyltetrahydro-[1,3]dioxolo[4,5-e][1,3,2]dioxaphosphepine	7	empty
(+)-(2r)-2-methylpiperidine	2	C[C@H]1NCCCC1
(+)-(2s)-2-(3-ethylbenzyl)-2,3-dimethylimidazolidin-4-one	11	C(C)C=1C=C(C[C@]2(NCC(N2C)=O)C)C=CC1
(+)-(2s,2's)-2-amino-1-{n-[4'-methyl-1'-(pyrrolidin-1''-yl)pentan-2'-yl]amino}-3-phenylpropane	6	empty
(+)-(2s,3s,4s)-t-2-methyltetrahydropyran-r-3,t-4-diol	1	empty
(+)-(2s,8as)-(camphorylsulfonyl)oxaziridine	10	empty
(+)-(3,2,10-eta-pinene)palladium(ii) chloride	19	empty
(+)-(4s,5s)-taddol	5	empty
(+)-(8,8-dichlorocamphorylsulfonyl)-oxaziridine	2	empty
(+)-(8,8-dichlorocamphorylsulfonyl)oxaziridine	3	CC1([C@@H]2CC[C@]13CS(=O)(=O)N4[C@@]3(C2(Cl)Cl)O4)C
(+)-(nmi)2zrcl2	2	empty
(+)-(p)-1-aza[5]helicene n-oxide	2	empty
(+)-(p)-11,12-benzo-1-aza[6]helicene n-oxide	2	empty
(+)-(p)-11,12-benzo-2-(1-adamantylamino)-1-aza[6]helicenium tfpb	4	empty
(+)-(p,3s)-14-(1,3,2-dioxaphospholan-2-yloxy)-3-methyl-4-(4-methylphenyl)-1,3,6,7-tetrahydrobenzo[c]benzo[5,6]phenanthro[4,3-e]oxepine	1	empty
(+)-(p,3s)-14-(dibenzo[d,f][1,3,2]dioxaphosphepin-6-yloxy)-3-methyl-4-(4-methylphenyl)-1,3,6,7-tetrahydrobenzo[c]benzo[5,6]phenanthro[4,3-e]oxepine	2	empty
(+)-(p,3s)-14-[(4,8-di-tert-butyl-2,10-dimethoxydibenzo[d,f][1,3,2]dioxaphosphepin-6-yl)oxy]-3-methyl-4-(4-methylphenyl)-1,3,6,7-tetrahydrobenzo[5,6]phenanthro[4,3-e]oxepine	1	empty
(+)-(p,3s)-3-methyl-4-(4-methylphenyl)-14-[(4,4,5,5-tetramethyl-1,3,2-dioxaphospholan-2-yl)oxy]-1,3,6,7-tetrahydrobenzo[c]benzo[5,6]phenanthro[4,3-e]oxepine	4	empty
(+)-(r)-(1-phenethyl)(2,2,2-trifluoroethyl)amine	3	empty
(+)-(r)-[1,5-cycloocatdien-7-(2-phenyl-6,7-dihydro-5h-[1]pyridine)-di-(tert-butyl)phosphinite-ridiumd(i)]tetrakis-(3,5-bis(trifluoromethyl)phenyl)borate	13	empty
(+)-(r)-alpha-pinene	8	[C@@H]12C(=CCC(C1(C)C)C2)C
(+)-(r,r)-bis(hexamethylazaferrocene)methylene	1	empty
(+)-(r,r)-c2-symmetric bisazaferrocene	3	empty
(+)-(r,r)-n,n'-bis(2-hydroxybenzyl)-n,n'-bis(2-pyridylmethyl)-1,2-diphenylethylenediamine	6	empty
(+)-(r,r,r,r)-c50h50o4p2	1	empty
(+)-(r,r,r,r)-c50h50o8p2	1	empty
(+)-(r,rp)-taniaphos	12	empty
(+)-(s)-(6,6'-dimethylbiphenyl-2,2'-diyl)bis(diphenylphosphine)	2	empty
(+)-(s)-1-[(r)-2-(ph2p)ferrocenyl]ethyl methyl ether	1	empty
(+)-(s)-2-amino-1-phenyl-3-(pyrrolidin-1-yl)propane	23	N[C@@H](CC1=CC=CC=C1)CN1CCCC1
(+)-(s)-5-(4,5,6,7-tetrahydrodiindeno[7,1-de:1',7'-fg][1,3,2]dioxaphosphocin-12-yl)-5h-dibenzo[b,f]azepine	5	C1=C2C=C(C34C2=C(OPO[C@@H]2C3=C(C=C4)C=CC2)C=C1)N1C2=C(C=CC4=C1C=CC=C4)C=CC=C2
(+)-(s)-5-isopropyl-2-(2,3,4,5,6-pentafluorophenyl)-6,8-dihydro-5h-[1,2,4]triazolo[3,4-c][1,4]oxazin-2-ium tetrafluoroborate	9	F[B-](F)(F)F~C(C)(C)[C@@H]1N2C(COC1)=N[N+](=C2)C2=C(C(=C(C(=C2F)F)F)F)F
(+)-(s)-[(cod)(t-bu-oxazolinyl-cme2o-p(o-tol)2)ir][barf]	2	empty
(+)-(s)-cop-oac	6	empty
(+)-(s,s)-(+)-(diop)cocl2	9	empty
(+)-(s,s)-cr(salen)cl	9	empty
(+)-(s,s)-tadooh	6	empty
(+)-(trans-ph2-c4h6n-ch2)2	1	empty
(+)-1(s),2(s)-bislt;2'-(diphenylphosphino)benzamidogt;-1,2-diphenylethane	19	empty
(+)-1,2,3,4,1',2',3',4'-octahydro-1,1'-bisisoquinoline	2	empty
(+)-1,2-bis((2s, 5s)-2,5-diethylphospholano)benzene (cyclooctadiene)rhodium(i) trifluoromethanesulfonate	6	empty
(+)-1,2-bis((2s,,5s)-2,5-diethylphospholano)benzene(cyclooctadiene)rhodium(i) trifluoromethanesulfonate	1	empty
(+)-1,2-bis((2s,5s)-2,5-diethylphospholano)benzene(1,5-cyclooctadiene)rhodium tetrafluoroborate	8	empty
(+)-1,2-bis-((2s,5s)-2,5-diethylphospholano)benzene(1,5-cyclooctadiene)rhodium(i) trifluoromethanesulfonate	1	empty
(+)-1,2-bis-((2s,5s)-2,5-diethylphospholano)benzene(cyclooctadiene)rhodium(i) trifluoromethanesulfonate	46	empty
(+)-1-bromo-1-methyl-2,2-diphenylcyclopropane	1	BrC1(C(C1)(C1=CC=CC=C1)C1=CC=CC=C1)C
(+)-1-t-bu-2-tso-2h-[1,2]azaborolyl*(co)2*me3si*iron	2	empty
(+)-10-camphorsulfonic acid	119	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(+)-2'-(dicyclohexylphosphanyl)-2-(me2n)-1,1'-binaphthyl	1	empty
(+)-2,2'-o,o-(1,1'-binaphthyl)-dioxo-n,n-diethylphospholidine	23	empty
(+)-2-(phenylsulfonyl)-3-phenyloxaziridine	1	C1(=CC=CC=C1)S(=O)(=O)N1OC1C1=CC=CC=C1
(+)-2-deuterio-octan-2-ol	1	[2H]C(C)(CCCCCC)O
(+)-3,3'-dimethyl-pindox	1	empty
(+)-3-((tert-butyldimethylsilyl)oxy)-8-(dinaphtho[2,1-d:1',2'-f][1,3,2]dioxa-phosphepin-4-yl)-8-azabicyclo[3.2.1]oct-6-ene	1	empty
(+)-4,4a,5,6,7,8-hexahydro-4a-me-2(3h)-nph dimethylhydrazone	2	empty
(+)-4-[c(o)o-(4-eto-phenyl)]-4'-(1-methylheptyloxy)biphenyl	1	empty
(+)-4-dimethylamino-1,2-diphenyl-3-methyl-2-butanol	1	CN(CC(C(CC1=CC=CC=C1)(O)C1=CC=CC=C1)C)C
(+)-5-(2?,4?,6?-trimethoxyphenyl)-8,10,10-trimethyl-6-azatricyclo[7.1.1.02,7]undeca-2,4,6-triene 6-oxide	34	empty
(+)-6,6'-(((1r,2r,4r,5r)-bicyclo[2.2.2]octane-2,5-diylbis(azanediyl))bis(methylene))bis(2,4-di-tert-butylphenol)	24	[C@H]12[C@@H](C[C@H]([C@@H](C1)NCC1=CC(=CC(=C1O)C(C)(C)C)C(C)(C)C)CC2)NCC2=CC(=CC(=C2O)C(C)(C)C)C(C)(C)C
(+)-6-methoxy-4-[(s)-methoxy-((r)-5-vinyl-1-azabicyclo[2.2.2]oct-2-yl)-methyl]-quinoline	9	COC=1C=C2C(=CC=NC2=CC1)[C@@H]([C@@H]1N2CC(C(C1)CC2)C=C)OC
(+)-8-(phenylmethylene)bicyclo[3.2.1]octan-3-one	1	C1(=CC=CC=C1)C=C1C2CC(CC1CC2)=O
(+)-[(cod)rh((s,s)-et-duphos)]otf	2	empty
(+)-[(cod)rh(s,s-et-duphos)]otf	1	empty
(+)-[(cod)rh-(s,s)-et-duphos]otf	1	empty
(+)-[4,4'-(pph2)2-2,2',5,5'-me4-3,3'-bithiophene]rucl2	2	empty
(+)-[4,4'-pph2-2,2',5,5'-me-3,3'-bithiophene]ru(ch2cmech2)2	1	empty
(+)-alpha-pinanyl-9-borabicyclolt;3.3.1gt;nonane	1	empty
(+)-b(och3)(ipc)2	1	empty
(+)-b-methoxydiisocamphenylborane	1	empty
(+)-bis(alpha-methylbenzyl)amine lithium salt	1	[Li]~CC(C1=CC=CC=C1)NC(C1=CC=CC=C1)C
(+)-bislt;(r)-(1-phenylethyl)gt;amine	1	empty
(+)-bislt;3-(heptafluorobutyryl)camphoratogt;oxovanadium(iv)	1	empty
(+)-c11h19nch3	3	empty
(+)-c36h32o4	1	empty
(+)-c5phe5-dmap-deriv. ferrocene	1	empty
(+)-camphor-10-sulfonic acid	2	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(+)-camphor-10-sulfonic acid monohydrate	2	O~C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(+)-champhorsulfonic acid	4	empty
(+)-cinchonamine	1	C=C[C@H]1CN2CC[C@H]1C[C@H]2C3=C(C4=CC=CC=C4N3)CCO
(+)-csa	41	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C
(+)-cso	17	empty
(+)-dccso	2	empty
(+)-dcht	1	empty
(+)-dicyclododecyl tartrate	1	C(=O)(OC1CCCCCCCCCCC1)C(O)C(O)C(=O)OC1CCCCCCCCCCC1
(+)-dicyclohexyl tartrate	1	C(=O)(OC1CCCCC1)C(O)C(O)C(=O)OC1CCCCC1
(+)-diethyl ditoluyltartrate	1	C1(=C(C=CC=C1)C(C(C(=O)OCC)(O)C1=C(C=CC=C1)C)(O)C(=O)OCC)C
(+)-diethyl-d-tartrate	3	C(C)[C@@]([C@@](C(=O)[O-])(O)CC)(O)C(=O)[O-]
(+)-diisopinocampheylborane dimer	1	empty
(+)-diisopinocampheylchloroborane	2	empty
(+)-diisopinocampheylmethoxyborane	86	B(C1CC2CC(C1C)C2(C)C)(C3CC4CC(C3C)C4(C)C)OC
(+)-dip-chloride	1	B([C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C)([C@H]3C[C@H]4C[C@@H]([C@@H]3C)C4(C)C)Cl
(+)-dipbr	1	empty
(+)-dipt	1	CC(C)OC(=O)[C@@H]([C@H](C(=O)OC(C)C)O)O
(+)-eu(dppm)3	1	empty
(+)-exo-3-(methylthio)-1,7,7-trimethylbicyclolt;2.2.1gt;heptan-2-ol	9	empty
(+)-flavinophane fl(7)	1	empty
(+)-flavinophane fl(8)	3	empty
(+)-guiphos	15	empty
(+)-icp2bome	7	empty
(+)-ipc2b(allyl)	1	empty
(+)-ipc2bcl	23	B([C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C)([C@H]3C[C@H]4C[C@@H]([C@@H]3C)C4(C)C)Cl
(+)-ipc2boh	1	empty
(+)-ipc2bome	26	empty
(+)-ipc2botf	2	empty
(+)-isomenthone-derived 1,3-diol ligand	1	empty
(+)-limonene	1	CC1=CC[C@@H](CC1)C(=C)C
(+)-mating type blakeslea trispora cells	1	empty
(+)-menthyl(o2c)-leu-oh	29	empty
(+)-menthylona	1	empty
(+)-mib	13	empty
(+)-monoperoxycamphoric acid	2	C[C@]1(CC[C@@H](C1(C)C)C(=O)OO)C(=O)O
(+)-monoperoxycamphoric acid ((+)-mcpa)	3	empty
(+)-monoperoxycamphoric acid ((+)-mpca)	3	empty
(+)-n,n-dimethyl-1-(1-naphthyl)ethylamine pt	1	empty
(+)-n-(phenylsulfonyl)(3,3-dichlorocamphoryl)oxaziridine	1	empty
(+)-n-methylephedrine	45	C[C@H]([C@H](C1=CC=CC=C1)O)N(C)C
(+)-n-{(4s,5s)-2,2-dimethyl-4-[4-(methylsulfonyl)phenyl]-1,3-dioxan-5-yl}-3,4-dihydroisoquinolinium tetraphenylborate	1	empty
(+)-neomenthyldiphenylphosphine	6	C[C@@H]1CC[C@H]([C@H](C1)P(C2=CC=CC=C2)C3=CC=CC=C3)C(C)C
(+)-norephedrine	20	C[C@H]([C@H](C1=CC=CC=C1)O)N
